epoch,loss,accuracy
1,2.2921,0.138564
2,2.25993,0.159154
3,2.22518,0.226489
4,2.20616,0.258208
5,2.17315,0.363383
6,2.1503,0.383973
7,2.1213,0.454647
8,2.0906,0.549249
9,2.05819,0.623261
10,2.02671,0.652198
11,1.99991,0.702838
12,1.9757,0.720089
13,1.95625,0.745131
14,1.93934,0.759043
15,1.92593,0.771285
16,1.9141,0.770729
17,1.90308,0.769616
18,1.89546,0.777963
19,1.88903,0.782972
20,1.88397,0.791319
21,1.8794,0.78798
22,1.87571,0.785754
23,1.87185,0.788536
24,1.86815,0.794101
25,1.865,0.789649
26,1.86232,0.796327
27,1.86116,0.800223
28,1.86003,0.792988
29,1.8585,0.796884
30,1.85774,0.798553
31,1.85576,0.802449
32,1.85595,0.79911
33,1.85433,0.800779
34,1.85373,0.800223
35,1.85387,0.79744
36,1.85171,0.800223
37,1.85211,0.801892
38,1.85225,0.800779
39,1.85102,0.800223
40,1.85117,0.796884
41,1.85241,0.800779
42,1.85328,0.799666
43,1.85488,0.790762
44,1.8535,0.799666
45,1.85373,0.801892
46,1.85447,0.803005
47,1.85395,0.803005
48,1.8548,0.801892
49,1.85284,0.803005
50,1.85425,0.802449
