epoch,loss,accuracy
1,2.28199,0.178075
2,2.23894,0.347245
3,2.20487,0.434613
4,2.17435,0.464663
5,2.14345,0.534224
6,2.11265,0.57429
7,2.08274,0.605454
8,2.05555,0.643294
9,2.03207,0.683361
10,2.01026,0.71842
11,1.9922,0.744018
12,1.97845,0.745131
13,1.9667,0.761269
14,1.95916,0.763495
15,1.95318,0.762938
16,1.94867,0.770173
17,1.9446,0.763495
18,1.94181,0.775737
19,1.94053,0.765721
20,1.93996,0.759599
21,1.9398,0.76906
22,1.93934,0.76739
23,1.93928,0.76906
24,1.93975,0.760712
25,1.94008,0.756817
26,1.94118,0.750696
27,1.94095,0.745131
28,1.94218,0.74847
29,1.94208,0.751809
30,1.94166,0.751252
