epoch,loss,accuracy
1,2.28349,0.191987
2,2.25023,0.305509
3,2.21796,0.326099
4,2.18579,0.377852
5,2.1485,0.444073
6,2.11076,0.485253
7,2.07518,0.534224
8,2.04486,0.606566
9,2.01897,0.667223
10,1.99834,0.69783
11,1.98078,0.717307
12,1.96538,0.738453
13,1.95436,0.754591
14,1.94681,0.755704
15,1.94076,0.758486
16,1.93717,0.754591
17,1.9337,0.755704
18,1.93105,0.752922
19,1.93099,0.755704
20,1.93078,0.754035
21,1.93047,0.749026
22,1.93071,0.746244
23,1.93034,0.745687
24,1.92998,0.752922
25,1.93008,0.747357
26,1.92992,0.74847
27,1.92944,0.744018
28,1.92937,0.746244
29,1.93011,0.743461
30,1.92967,0.746244
31,1.93018,0.746244
32,1.92969,0.741235
33,1.93004,0.752365
34,1.93019,0.750139
35,1.93125,0.743461
36,1.93038,0.745131
37,1.93106,0.739566
38,1.93196,0.737896
39,1.93177,0.739009
40,1.9318,0.742905
