epoch,loss,accuracy
1,2.29873,0.160824
2,2.29033,0.163606
3,2.28385,0.130774
4,2.27453,0.145242
5,2.26576,0.163606
6,2.25849,0.171953
7,2.25492,0.158598
8,2.24609,0.198664
9,2.23994,0.20256
10,2.23266,0.244296
11,2.22581,0.280467
12,2.21863,0.32276
13,2.21337,0.319421
14,2.2071,0.355036
15,2.20074,0.374513
16,2.20972,0.316082
17,2.20916,0.359488
18,2.20548,0.40345
19,2.2109,0.408459
20,2.21058,0.42404
21,2.22239,0.409572
22,2.22821,0.391208
23,2.23064,0.344463
24,2.23142,0.309961
25,2.2297,0.317195
26,2.22503,0.280467
27,2.22559,0.297718
28,2.22207,0.31163
29,2.2108,0.337229
30,2.19561,0.35448
