epoch,loss,accuracy
1,2.27461,0.207568
2,2.20371,0.42571
3,2.15443,0.558709
4,2.08553,0.622705
5,2.00052,0.749583
6,1.92749,0.741792
7,1.85769,0.81803
8,1.81055,0.804118
9,1.76399,0.856427
10,1.73426,0.82749
11,1.71267,0.850863
12,1.69535,0.846967
13,1.68309,0.850863
14,1.67255,0.855314
15,1.66837,0.853088
16,1.6657,0.856427
17,1.6637,0.85921
18,1.66189,0.845298
19,1.6609,0.844185
20,1.66201,0.850306
21,1.66366,0.840846
22,1.66085,0.843072
23,1.65857,0.846411
24,1.65944,0.839733
25,1.66081,0.851419
26,1.65862,0.846411
27,1.65883,0.84975
28,1.6602,0.854201
29,1.66031,0.852532
30,1.66065,0.838063
31,1.66156,0.845854
32,1.66166,0.849193
33,1.66256,0.840289
34,1.6621,0.833612
35,1.66285,0.835838
36,1.66152,0.843072
37,1.66377,0.841959
38,1.66324,0.834725
39,1.66465,0.836394
40,1.66295,0.842515
