epoch,loss,accuracy
1,2.26772,0.208125
2,2.20166,0.368948
3,2.14761,0.546466
4,2.08252,0.663884
5,2.0046,0.711742
6,1.93714,0.739009
7,1.87147,0.810239
8,1.82379,0.795771
9,1.78403,0.826934
10,1.75573,0.80857
11,1.73457,0.830273
12,1.71856,0.821925
13,1.70706,0.829716
14,1.69807,0.831386
15,1.69102,0.841402
16,1.68845,0.841402
17,1.68741,0.828047
18,1.68429,0.831386
19,1.68226,0.823038
20,1.68454,0.820812
21,1.68193,0.838063
22,1.68135,0.81803
23,1.68031,0.823595
24,1.68187,0.824708
25,1.68198,0.825264
26,1.68261,0.821925
27,1.68127,0.825264
28,1.68104,0.831942
29,1.68221,0.826934
30,1.68419,0.819699
31,1.68467,0.820812
32,1.68474,0.81803
33,1.68417,0.810796
34,1.68412,0.815248
35,1.68426,0.816917
36,1.68309,0.824151
37,1.68473,0.824151
38,1.6846,0.819143
39,1.68621,0.819699
40,1.68423,0.829716
41,1.68424,0.823038
42,1.68489,0.820812
43,1.68391,0.81803
44,1.68347,0.809126
45,1.68261,0.823038
46,1.68272,0.826377
47,1.68281,0.816917
48,1.684,0.813022
49,1.68314,0.824708
50,1.68275,0.825821
51,1.68283,0.821369
52,1.68344,0.823595
53,1.6817,0.82749
54,1.6822,0.820812
55,1.6817,0.823595
56,1.68089,0.820812
57,1.68071,0.824708
58,1.68085,0.826934
59,1.6787,0.82916
60,1.67991,0.821925
